,Role_Toastmaster,Personal_Values_Facet_Cont_PowerDominance,Mean
165,0.365439977,0.341315667,0.353377822
166,0.734563929,0.345896557,0.540230243
167,0.414781087,0.350573866,0.3826774765
168,0.330948282,0.349212666,0.34008047399999997
169,0.402939656,0.339555391,0.3712475235
170,0.649281484,0.353432681,0.5013570825
171,0.6095322320000001,0.35100289,0.480267561
172,0.287213831,0.346939406,0.3170766185
173,0.4284192779999999,0.3414547029999999,0.3849369904999999
174,0.491712862,0.325656625,0.40868474349999995
175,0.7035214609999999,0.337438939,0.5204802
176,0.553251484,0.337560003,0.4454057435
177,0.622581088,0.335385948,0.478983518
178,0.327273482,0.329168223,0.3282208525
179,0.621662795,0.340843831,0.48125331299999996
180,0.248237829,0.345487228,0.2968625285
181,0.34914235,0.349527886,0.349335118
182,0.425061061,0.334081132,0.3795710965
183,0.568578452,0.322299031,0.4454387415
184,0.485749504,0.3440521479999999,0.41490082599999994
185,0.59794032,0.348927449,0.4734338845
186,0.596204839,0.350214237,0.473209538
187,0.416508496,0.3426311689999999,0.3795698325
188,0.478085763,0.358255609,0.41817068599999996
189,0.5182111229999999,0.357134577,0.43767285
190,0.384924179,0.34144579,0.36318498450000003
191,0.448156536,0.353601006,0.400878771
192,0.505651698,0.345713546,0.42568262199999995
193,0.412913384,0.340838792,0.376876088
194,0.605396246,0.33777205,0.471584148
195,0.470677661,0.361065696,0.4158716785
196,0.458242473,0.333284068,0.3957632705
197,0.321475338,0.325541261,0.32350829950000004
198,0.544014883,0.342214052,0.4431144675
199,0.377131914,0.361506302,0.369319108
200,0.570241497,0.3342208239999999,0.4522311605
201,0.6745318709999999,0.338481381,0.506506626
202,0.6889231929999999,0.3472420679999999,0.5180826304999999
203,0.463304893,0.337307365,0.400306129
204,0.7239066209999999,0.3264121,0.5251593605
205,0.601269431,0.35727234,0.47927088549999997
206,0.4981828129999999,0.354174659,0.42617873599999995
207,0.379692088,0.341761899,0.3607269935
208,0.4117243889999999,0.339141584,0.37543298649999995
209,0.7083559540000001,0.349091432,0.528723693
210,0.24033974,0.34304968,0.29169471
211,0.744731005,0.3461706089999999,0.5454508069999999
212,0.636991499,0.343874836,0.4904331675
213,0.341275342,0.345083893,0.3431796175
214,0.3485378979999999,0.356889733,0.3527138154999999
215,0.644158519,0.344613687,0.49438610299999997
216,0.633693127,0.343406169,0.488549648
217,0.421533427,0.363930906,0.3927321665
218,0.499929982,0.3405771999999999,0.4202535909999999
219,0.3997731439999999,0.351712666,0.37574290499999996
220,0.630710876,0.338235097,0.4844729865
221,0.610961244,0.32329314,0.46712719199999997
222,0.464464401,0.35156884,0.4080166205
223,0.601269431,0.35727234,0.47927088549999997
224,0.695950403,0.331903447,0.513926925
225,0.468861012,0.3502302929999999,0.40954565249999997
226,0.598867379,0.332073675,0.465470527
227,0.61924707,0.350134482,0.484690776
228,0.637422356,0.35039878,0.493910568
229,0.667814102,0.329493753,0.49865392750000004
230,0.394393857,0.330384646,0.3623892515
231,0.539114164,0.334700916,0.43690754
232,0.7344186559999999,0.352997531,0.5437080934999999
233,0.567118451,0.339735978,0.4534272145
234,0.601269431,0.35727234,0.47927088549999997
235,0.269544997,0.342788269,0.306166633
236,0.601269431,0.35727234,0.47927088549999997
237,0.601269431,0.35727234,0.47927088549999997
238,0.616030835,0.342389258,0.4792100465
239,0.395902836,0.361089647,0.3784962415
240,0.440913888,0.343595492,0.39225469
241,0.3592309489999999,0.340310347,0.34977064799999996
242,0.503674181,0.345025312,0.4243497465
243,0.823349645,0.34255521,0.5829524275
244,0.630410272,0.347605256,0.489007764
245,0.594643656,0.336829917,0.4657367865
246,0.553699866,0.348570035,0.45113495049999996
247,0.601269431,0.35727234,0.47927088549999997
248,0.601269431,0.35727234,0.47927088549999997
249,0.199659332,0.34263108,0.27114520599999997
250,0.496606167,0.34975212,0.42317914349999997
251,0.641205735,0.347763219,0.494484477
252,0.495059347,0.355998931,0.425529139
253,0.4402805829999999,0.35108591,0.3956832465
254,0.586603891,0.363640943,0.475122417
255,0.399173142,0.3684234879999999,0.38379831499999995
256,0.601269431,0.35727234,0.47927088549999997
257,0.350987302,0.362432037,0.3567096695
258,0.476459707,0.356728514,0.4165941105
259,0.325762833,0.333697863,0.329730348
260,0.602296688,0.339664021,0.4709803545
261,0.3238753339999999,0.337970151,0.3309227425
262,0.698639694,0.3508416239999999,0.524740659
263,0.601269431,0.35727234,0.47927088549999997
264,0.31983601,0.350995752,0.33541588099999997
265,0.247333352,0.358743645,0.3030384985
266,0.542342952,0.343682157,0.4430125545
267,0.505138477,0.338188561,0.421663519
268,0.617043652,0.332556363,0.4748000075
269,0.5712638870000001,0.341990379,0.456627133
270,0.30330437,0.342875275,0.32308982249999996
271,0.268942117,0.345169707,0.307055912
272,0.5712638870000001,0.341990379,0.456627133
273,0.522326446,0.330425347,0.42637589649999996
274,0.6700798729999999,0.344984699,0.507532286
275,0.631568123,0.338504762,0.4850364425
276,0.520645595,0.3437436339999999,0.43219461449999996
277,0.333774472,0.3581417629999999,0.34595811749999994
278,0.510251758,0.3421042589999999,0.4261780085
279,0.6177291429999999,0.360291076,0.48901010949999996
280,0.435442825,0.341827668,0.3886352465
281,0.583775113,0.332912671,0.458343892
282,0.5712638870000001,0.341990379,0.456627133
283,0.48346039,0.3410209939999999,0.41224069199999996
284,0.418556453,0.3352676069999999,0.37691202999999995
285,0.595673592,0.341646435,0.46866001350000003
286,0.546317162,0.357761572,0.452039367
287,0.546685083,0.333836101,0.440260592
288,0.501446567,0.36077014,0.4311083535
289,0.649545391,0.349909191,0.499727291
290,0.665239968,0.332689816,0.498964892
291,0.335438344,0.3377925989999999,0.33661547149999993
